STATE,COUNTY,Cardiovascular diseases,Chronic respiratory diseases,HIV/AIDS and tuberculosis,Nutritional deficiencies,Age, Civilian_labor_force_2012 , Employed_2012 , Unemployed_2012 ,Unemployment_rate_2012,Crime_rate,Total; Estimate; ,Median income (dollars); Estimate;
Virginia,Arlington,176.3811709,30.29733429,3.558298174,0.715375386,82.64102368,"144,012","139,012","5,000",3.5,4264.029122999998,95369,100474
Virginia,Augusta,239.3596957,55.22956434,0.7704920270000001,1.148430399,78.63891541,"37,041","34,897","2,144",5.8,2545.723507,28920,47279
Virginia,Bedford,241.3240827,46.16162304,0.8603607670000001,1.461991426,78.97552821,"38,326","36,038","2,288",6.0,2362.553386,28449,57625
Virginia,Chesterfield,230.347788,50.68391972,1.120245395,1.015803658,79.78311818,"172,990","162,433","10,557",6.1,4557.33027,115148,70243
Virginia,Fairfax,160.1864074,28.46458228,0.96389364,0.53880407,83.50040755,"623,843","595,687","28,156",4.5,2974.4012780000007,391216,107096
Virginia,Fauquier,222.9617248,49.66516246,0.8521929640000001,1.320268033,79.43975183,"36,022","34,169","1,853",5.1,2431.174119,23044,83677
Virginia,Frederick,208.6357465,58.35830202,0.804944325,0.8336691209999999,79.38839861,"43,479","40,967","2,512",5.8,4325.586015,29636,67289
Virginia,Hanover,240.04853530000003,50.25501887,0.7844425620000001,0.965218921,79.65758622,"55,152","52,111","3,041",5.5,2624.004416,36146,74128
Virginia,Henrico,223.6977765,51.49483984,1.991335679,1.153471004,79.49536307,"172,595","162,158","10,437",6.0,5399.722176,123501,58338
Virginia,James City,187.9143418,33.40617538,1.464665824,1.083989917,81.69562152,"32,988","31,101","1,887",5.7,2993.386704,27360,79435
Virginia,Loudoun,173.1572758,33.02137932,0.8040914840000001,0.585326249,82.90443025,"186,073","177,798","8,275",4.4,2603.094899,108559,117876
Virginia,Montgomery,257.69810930000006,57.25108698,0.629575376,2.05779019,79.28194181,"49,165","46,242","2,923",5.9,4115.032186,35154,41625
Virginia,Prince William,196.541732,42.43582992,1.266200553,1.0402925159999998,80.91855651,"228,830","216,748","12,082",5.3,3610.268516,134611,93744
Virginia,Roanoke,232.6186531,49.8091592,0.939715288,1.640085231,79.74048655,"49,569","46,975","2,594",5.2,3584.607837,38004,57515
Virginia,Rockingham,210.4060192,45.2855781,0.680091885,0.8627967740000001,80.45067311,"40,874","38,557","2,317",5.7,2043.056578,29390,50818
Virginia,Spotsylvania,229.73215130000003,49.54351416,1.426895986,1.045471103,79.07614493,"64,141","60,232","3,909",6.1,4136.103995,42292,78914
Virginia,Stafford,207.6501733,41.86107277,0.8742397279999999,0.998762299,79.87416149,"65,515","61,724","3,791",5.8,3698.630137,42313,97606
Virginia,York,245.91395040000003,50.3067855,3.721333663,2.511472322,78.29520454,"31,718","29,883","1,835",5.8,4316.28853,22830,71974
Washington,Benton,219.3302929,57.66657028,0.532481885,1.170997626,79.98693702,"92,041","83,467","8,574",9.3,5466.703206,65945,57774
Washington,Chelan,211.7355116,48.0743732,0.599724045,0.7539532290000001,80.43487902,"41,395","38,084","3,311",8.0,5761.610825,27458,45837
