STATE,COUNTY,Cardiovascular diseases,Chronic respiratory diseases,HIV/AIDS and tuberculosis,Nutritional deficiencies,Age, Civilian_labor_force_2014 , Employed_2014 , Unemployed_2014 ,Unemployment_rate_2014,Crime_rate,Total; Estimate;,Median income (dollars); Estimate;
Texas,Johnson,316.8072044,76.29683216,1.7167661,2.157039626,76.91620255,"74,371","70,626","3,745",5.0,3998.621605,55458,55739
Texas,Kaufman,324.7806118000001,77.78159311,2.326424718,2.058779833,75.91002598,"53,609","50,852","2,757",5.1,3826.258388,35725,56098
Texas,Liberty,379.9839952,91.63673723,2.123050927,1.95341213,74.16007321,"30,982","28,763","2,219",7.2,6795.641939,24886,44188
Texas,Lubbock,276.0154938,77.21520086,2.609159899,2.226241677,76.86112279,"147,807","141,989","5,818",3.9,9697.447555,110867,46076
Texas,McLennan,272.6641717,57.33342345,3.295818609,2.772035035,77.24352492,"112,906","107,210","5,696",5.0,7248.587547,87345,43609
Texas,Midland,257.0345216,62.43268888,1.203137742,1.374785535,78.36047581,"90,947","88,337","2,610",2.9,5861.941157,53655,77711
Texas,Montgomery,254.9557967,61.48990637,1.6325029269999998,1.835188524,78.73742759,"253,834","242,633","11,201",4.4,3701.784664,179867,70243
Texas,Nacogdoches,316.3757666,73.4592184,3.165243229,2.533230251,76.14980922,"28,628","27,101","1,527",5.3,5719.915126,24734,39326
Texas,Nueces,240.0010845,48.60707331,3.22160466,1.667314746,78.08277121,"168,240","159,650","8,590",5.1,9894.607364,129264,51817
Texas,Orange,363.9668063,104.3130105,2.322001645,1.302551383,74.43542322,"37,893","34,873","3,020",8.0,5489.994869,32952,46809
Texas,Parker,278.5565819,72.68862001,1.354409151,1.832121764,77.7991494,"59,108","56,412","2,696",4.6,3464.629166,42629,68882
Texas,Potter,341.9372832,113.3864762,4.527107088,1.936183741,73.90732406,"56,845","54,597","2,248",4.0,9845.865275,42467,38324
Texas,Randall,229.960951,84.39301929,1.340323888,1.786255207,79.01456309999998,"68,845","66,472","2,373",3.4,8447.947812,49310,65749
Texas,Rockwall,253.3739709,54.63147977,1.148895131,1.593235596,79.75943125,"43,416","41,458","1,958",4.5,2640.418628,29401,80407
Texas,San Patricio,269.9569562,62.00132711,2.153529424,1.727424124,76.70877873,"30,685","28,772","1,913",6.2,6627.08122,23156,53877
Texas,Smith,301.2495666000001,58.75636976,2.388628104,2.075326603,77.76781729,"102,258","96,937","5,321",5.2,6545.044111,77469,43958
Texas,Tarrant,257.09885269999995,57.12181485,2.879658509,1.858906549,78.68000212,"991,015","941,186","49,829",5.0,7369.937306,681915,58099
Texas,Taylor,303.4710277,63.49284867,1.77122367,2.205795626,76.77731156,"64,418","61,706","2,712",4.2,8996.631607,48997,45907
Texas,Tom Green,256.7449632,71.36261436,1.726678468,1.395475217,77.49994343,"54,668","52,465","2,203",4.0,7888.343284999999,42501,44959
Texas,Travis,195.2032608,38.89066636,2.8833107630000003,1.811077532,80.89321687,"644,428","618,143","26,285",4.1,7930.21646,437375,61787
Texas,Victoria,257.0090432,48.36205952,1.526006451,1.647740874,78.05456765,"46,261","44,338","1,923",4.2,7023.813426999999,32572,50245
Texas,Walker,278.6032583,62.29175853,5.158230088,2.500932445,77.25751791,"23,156","21,899","1,257",5.4,4485.389377,20097,38483
Texas,Webb,254.143657,30.31813738,3.471075759,2.738490679,79.68587058,"111,193","105,546","5,647",5.1,8334.705055,70418,38312
Texas,Wichita,325.6531155,83.58874384,2.8985431110000004,2.11879478,75.65692908,"56,512","53,760","2,752",4.9,8159.695584,46671,42996
Texas,Williamson,181.7030349,43.73494196,0.949545867,1.634933775,81.73486331,"255,361","244,237","11,124",4.4,3811.405637,164805,72453
Utah,Cache,190.0729013,30.44991246,0.34376289600000004,1.63034625,81.96845261,"58,904","57,015","1,889",3.2,2571.694442,35895,51556
Utah,Davis,227.252103,40.05321289,0.384676832,1.582817807,80.74081124,"155,909","150,319","5,590",3.6,3591.623421,99117,70440
Utah,Salt Lake,232.4688076,49.88139977,0.936293734,2.249034912,79.39782878,"575,842","554,611","21,231",3.7,9679.985678,358269,62672
Utah,Utah,237.4053674,34.42588002,0.400201759,2.027733325,80.75201319,"255,288","246,367","8,921",3.5,3377.889113,151010,60944
Utah,Washington,174.1309686,35.67899016,0.74455726,1.407154269,81.36476822,"61,525","58,819","2,706",4.4,3745.085168,49468,49981
Utah,Weber,245.6492555,58.28327985,0.7136951859999999,1.471348453,78.79868138,"114,919","109,861","5,058",4.4,5969.108411,80956,59604
Vermont,Chittenden,188.2107237,45.45738322,0.703468877,1.649565631,81.39321729999998,"95,549","92,655","2,894",3.0,4258.879952,63887,62004
Virginia,Albemarle,188.3354745,43.30917666,1.203904541,0.701752073,81.18129808,"53,593","51,179","2,414",4.5,3778.608711,39568,64722
Virginia,Arlington,175.5936406,29.82019438,3.2374916560000004,0.629168739,82.75623881,"144,531","139,786","4,745",3.3,3768.783907,100732,109266
Virginia,Augusta,245.5030578,56.59730529,0.724435567,1.208635333,78.65761737,"36,843","35,111","1,732",4.7,2483.155322,28533,58322
Virginia,Bedford,238.9408289,45.9322751,0.8055820770000001,1.450864393,79.27297577,"38,441","36,471","1,970",5.1,2813.622193,30259,56996
Virginia,Chesterfield,220.1625123,49.66618986,1.057386008,1.069950432,79.94359309,"177,421","168,309","9,112",5.1,4130.499217000001,119732,72878
Virginia,Fairfax,157.7492169,27.46511305,0.880239008,0.537500445,83.73344891,"619,812","593,857","25,955",4.2,2874.68907,391479,110674
Virginia,Fauquier,224.723733,50.0566299,0.803524701,1.337218723,79.36060868,"35,919","34,267","1,652",4.6,1893.007796,23334,91987
Virginia,Frederick,205.205098,59.0994791,0.791393146,0.824357013,79.39617616,"44,475","42,380","2,095",4.7,4137.729366,29505,66167
Virginia,Hanover,240.4713801,48.89947285,0.749711503,0.926968051,79.88456611,"55,794","53,244","2,550",4.6,2741.247469,37481,83756
Virginia,Henrico,230.2868039,51.50349945,1.853925094,1.10443713,79.4399214,"176,232","167,224","9,008",5.1,5236.075788,124447,62460
Virginia,James City,184.6680003,32.67591491,1.4664216209999998,1.067557465,81.68090575,"34,611","32,906","1,705",4.9,3202.353436,29312,72622
Virginia,Loudoun,166.9765996,31.72056585,0.7465256290000001,0.548885297,83.19212599,"195,972","187,625","8,347",4.3,2068.594793,117946,122294
Virginia,Montgomery,253.6877853,57.32988232,0.601409925,2.046145462,79.38015772,"49,774","47,228","2,546",5.1,3096.91033,34549,42052
