STUDYNO	EDITION	PART	IDNO	FIPS_ST	FIPS_CTY	CPOPARST	CPOPCRIM	AG_ARRST	AG_OFF	COVIND	VIOL	PROPERTY	MURDER	RAPE	ROBBERY	AGASSLT	BURGLRY	LARCENY	MVTHEFT	ARSON
9999	2	4	80	2	150	6212	6212	1	1	100	31	204	0	2	2	27	32	139	33	1
9999	2	4	81	2	164	0	0	0	1	100	0	0	0	0	0	0	0	0	0	0
9999	2	4	82	2	170	21984	21984	3	3	100	107	692	0	7	8	92	105	550	37	1
9999	2	4	83	2	180	3585	3585	1	1	100	13	85	0	4	0	9	15	63	7	2
9999	2	4	84	2	185	6581	6581	1	1	100	73	94	1	11	1	60	23	63	8	4
9999	2	4	85	2	188	3187	3187	1	1	100	17	55	0	9	0	8	9	36	10	1
9999	2	4	86	2	201	1874	1150	2	1	100	13	25	0	0	0	13	2	23	0	0
9999	2	4	87	2	220	8896	8896	1	1	100	18	269	0	7	2	9	18	229	22	1
9999	2	4	88	2	232	1596	895	2	1	100	1	24	0	0	0	1	8	16	0	0
9999	2	4	89	2	240	0	0	0	1	100	0	0	0	0	0	0	0	0	0	0
9999	2	4	90	2	261	6134	5977	3	2	100	38	121	0	1	0	37	9	97	15	0
9999	2	4	91	2	270	849	0	1	1	100	0	0	0	0	0	0	0	0	0	0
9999	2	4	92	2	280	5369	4742	3	2	100	31	166	0	0	0	31	15	147	4	0
9999	2	4	93	2	282	0	0	0	1	100	0	0	0	0	0	0	0	0	0	0
9999	2	4	94	2	290	0	0	0	1	100	0	0	0	0	0	0	0	0	0	0
9999	2	4	95	2	777	0	0	1	1	100	9	7	0	0	0	9	7	0	0	0
9999	2	4	96	2	999	233013	233013	1	1	100	859	3349	6	66	26	761	1006	1982	361	41
9999	2	4	97	4	1	69481	65868	4	3	100	52	304	2	8	0	42	133	160	11	0
9999	2	4	98	4	3	128796	128796	8	8	98.1121	721	3620	4	34	57	626	770	2585	265	23
9999	2	4	99	4	5	125099	121518	6	6	100	409	4183	6	61	57	285	557	3502	124	32
9999	2	4	100	4	7	51657	50423	5	4	100	258	1161	1	8	9	240	277	824	60	8
9999	2	4	101	4	9	36377	36377	4	4	100	720	1041	0	3	5	712	317	666	58	23
9999	2	4	102	4	11	7858	7858	2	2	48.2693	24	92	0	0	0	24	41	47	4	0
9999	2	4	103	4	12	19905	19905	3	3	100	61	698	0	0	7	54	157	485	56	12
9999	2	4	104	4	13	4017355	4017001	20	20	100	16339	146784	217	1011	5932	9179	33783	95908	17093	1084
9999	2	4	105	4	15	199041	199041	5	5	100	456	6747	8	34	69	345	1667	4641	439	38
9999	2	4	106	4	17	113233	113233	6	6	100	383	2533	7	14	26	336	838	1543	152	15
9999	2	4	107	4	19	1020210	1020210	9	9	100	4482	24634	55	301	1559	2567	7998	11764	4872	370
9999	2	4	108	4	21	346005	342378	11	10	100	832	10275	14	98	149	571	2395	6764	1116	81
9999	2	4	109	4	23	42944	42176	3	2	100	87	1111	2	1	17	67	307	586	218	1
9999	2	4	110	4	25	221621	218897	10	11	98.692	698	4550	3	37	49	609	1135	3184	231	25
9999	2	4	111	4	27	196196	169974	6	4	100	697	4501	9	32	93	563	1520	2543	438	47
9999	2	4	112	4	777	0	0	22	22	100	2394	5734	56	611	145	1582	2061	2505	1167	390
9999	2	4	113	5	1	19158	19158	3	3	100	62	714	0	7	12	43	243	426	45	3
9999	2	4	114	5	3	22116	22116	3	3	100	59	528	0	11	4	44	172	336	20	5
9999	2	4	115	5	5	42711	42711	5	5	100	59	1260	1	12	4	42	165	1045	50	3
9999	2	4	116	5	7	211790	217183	16	16	100	516	4550	4	108	33	371	1174	3222	154	22
9999	2	4	117	5	9	37357	37357	3	3	100	124	872	2	27	6	89	301	541	30	7
9999	2	4	118	5	11	11878	11130	3	2	100	22	216	0	5	2	15	147	61	8	1
9999	2	4	119	5	13	5426	5426	2	2	100	5	42	0	1	1	3	18	24	0	0
9999	2	4	120	5	15	27918	27918	4	4	100	78	708	6	8	5	59	248	427	33	5
9999	2	4	121	5	17	11828	11828	4	4	82.1215	106	208	1	2	7	96	91	114	3	5
9999	2	4	122	5	19	24025	24025	5	5	100	84	701	1	9	12	62	265	410	26	6
9999	2	4	123	5	21	15729	15729	3	3	100	23	199	0	5	1	17	97	91	11	3
9999	2	4	124	5	23	25524	25645	4	5	100	59	712	0	11	2	46	322	364	26	3
9999	2	4	125	5	25	8713	8713	2	2	100	8	106	0	0	0	8	51	43	12	0
9999	2	4	126	5	27	24088	24088	3	2	100	129	635	7	3	24	95	277	327	31	14
9999	2	4	127	5	29	20886	20886	3	3	100	58	723	3	7	11	37	142	548	33	17
9999	2	4	128	5	31	94212	92814	8	7	99.7113	345	3755	1	35	78	230	1511	2121	123	18
9999	2	4	129	5	33	60667	29913	4	3	100	74	954	1	8	2	63	262	662	30	1
9999	2	4	130	5	35	52941	52941	4	4	100	849	3079	5	45	116	683	1429	1458	192	13
9999	2	4	131	5	37	18810	18810	2	2	100	95	664	2	10	4	79	277	376	11	0
9999	2	4	132	5	39	8071	8071	2	2	100	26	173	0	0	7	19	81	84	8	4
9999	2	4	133	5	41	13408	8958	4	3	100	65	299	0	2	12	51	90	199	10	4
9999	2	4	134	5	43	18741	18741	3	3	100	84	541	1	10	6	67	171	324	46	4
9999	2	4	135	5	45	109768	109800	7	8	100	346	3783	2	44	58	242	839	2703	241	19
9999	2	4	136	5	47	18306	18306	3	3	100	47	313	0	4	2	41	98	204	11	0
9999	2	4	137	5	49	10894	10630	3	4	100	31	123	2	0	1	28	58	61	4	3
9999	2	4	138	5	51	98925	98925	2	2	100	626	6233	10	43	141	432	2124	3723	386	30
9999	2	4	139	5	53	17899	17899	2	2	100	44	332	0	5	2	37	138	179	15	2
9999	2	4	140	5	55	41216	41216	3	3	100	109	2025	1	23	11	74	726	1221	78	10
9999	2	4	141	5	57	22918	22918	2	2	100	99	749	0	8	16	75	231	467	51	3
9999	2	4	142	5	59	32211	8949	3	1	33.3333	0	0	0	0	0	0	0	0	0	0
9999	2	4	143	5	61	14187	14187	4	4	97.0137	49	387	2	3	2	42	155	228	4	1
9999	2	4	144	5	63	34820	34820	1	1	100	219	1334	1	19	14	185	579	658	97	17
9999	2	4	145	5	65	13025	13012	2	2	100	5	110	0	2	1	2	43	62	5	4
9999	2	4	146	5	67	16853	16077	5	4	92.438	81	639	0	6	9	66	213	402	24	4
9999	2	4	147	5	69	78057	76956	6	5	100	814	4789	13	63	215	523	1873	2462	453	33
9999	2	4	148	5	71	25190	25190	2	2	100	48	527	2	12	0	34	180	339	8	2
9999	2	4	149	5	73	7649	7649	3	3	90.0172	6	180	0	1	2	4	96	83	1	3
