STUDYNO	EDITION	PART	IDNO	FIPS_ST	FIPS_CTY	SPOPARST	SPOPCRIM	CPOPCRIM	AG_ARRST	AG_OFF	COVIND	SVIOL	SPROPERTY	SMURDER	SRAPE	SROBBERY	SAGASSLT	SBURGLRY	SLARCENY	SMVTHEFT	SARSON
9999	2	8	165	5	105	2889450	2726237	10367	2	2	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	166	5	107	2889450	2726237	13023	3	2	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	167	5	109	2889450	2726237	10583	3	3	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	168	5	111	2889450	2726237	24720	6	6	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	169	5	113	2889450	2726237	20337	2	2	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	170	5	115	2889450	2726237	60830	6	6	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	171	5	117	2889450	2726237	7832	4	3	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	172	5	119	2889450	2726237	379980	11	11	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	173	5	121	2889450	2726237	18203	2	2	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	174	5	123	2889450	2726237	26131	2	2	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	175	5	125	2889450	2726237	45849	3	2	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	176	5	127	2889450	2726237	10924	2	2	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	177	5	129	2889450	2726237	8056	1	1	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	178	5	131	2889450	2726237	122813	5	4	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	179	5	133	2889450	2726237	16674	2	2	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	180	5	135	2889450	2726237	9035	6	6	94.7381	0	0	0	0	0	0	0	0	0	0
9999	2	8	181	5	137	2889450	2726237	12203	2	2	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	182	5	139	2889450	2726237	41261	3	2	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	183	5	141	2889450	2726237	16682	3	3	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	184	5	143	2889450	2726237	201219	10	10	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	185	5	145	2889450	2726237	76021	11	11	99.2103	0	0	0	0	0	0	0	0	0	0
9999	2	8	186	5	147	2889450	2726237	3730	3	2	96.6041	0	0	0	0	0	0	0	0	0	0
9999	2	8	187	5	149	2889450	2726237	22157	5	5	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	188	6	1	36961664	36961664	1471974	26	22	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	189	6	3	36961664	36961664	1043	2	2	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	190	6	5	36961664	36961664	38462	6	6	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	191	6	7	36961664	36961664	221473	13	10	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	192	6	9	36961664	36961664	47418	5	5	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	193	6	11	36961664	36961664	21413	6	5	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	194	6	13	36961664	36961664	1034973	30	26	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	195	6	15	36961664	36961664	29185	3	3	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	196	6	17	36961664	36961664	177704	7	5	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	197	6	19	36961664	36961664	918710	24	21	99.227	0	0	0	0	0	0	0	0	0	0
9999	2	8	198	6	21	36961664	36961664	28344	5	5	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	199	6	23	36961664	36961664	128844	12	11	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	200	6	25	36961664	36961664	165988	12	10	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	201	6	27	36961664	36961664	16993	4	4	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	202	6	29	36961664	36961664	814516	17	14	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	203	6	31	36961664	36961664	151368	10	8	81.778	0	0	0	0	0	0	0	0	0	0
9999	2	8	204	6	33	36961664	36961664	65384	5	4	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	205	6	35	36961664	36961664	34549	6	4	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	206	6	37	36961664	36961664	9863786	108	102	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	207	6	39	36961664	36961664	150856	6	5	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	208	6	41	36961664	36961664	248066	16	15	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	209	6	43	36961664	36961664	18008	2	2	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	210	6	45	36961664	36961664	85905	8	7	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	211	6	47	36961664	36961664	249432	13	11	100	0	0	0	0	0	0	0	0	0	0
