STUDYNO	EDITION	PART	IDNO	FIPS_ST	FIPS_CTY	SPOPARST	SPOPCRIM	CPOPCRIM	AG_ARRST	AG_OFF	COVIND	SINDEX	SMODINDX	SMURDER	SRAPE	SROBBERY	SAGASSLT	SBURGLRY	SLARCENY	SMVTHEFT	SARSON
9999	1	8	104	4	13	6553255	6517539	3922594	18	19	100	28	57	0	0	3	25	1	56	0	0
9999	1	8	105	4	15	6553255	6517539	204559	5	5	98.1994	1	3	0	0	0	1	0	3	0	0
9999	1	8	106	4	17	6553255	6517539	108570	6	6	100	1	2	0	0	0	1	0	2	0	0
9999	1	8	107	4	19	6553255	6517539	1000369	9	9	100	7	14	0	0	1	6	0	14	0	0
9999	1	8	108	4	21	6553255	6517539	382231	11	9	100	3	6	0	0	0	2	0	5	0	0
9999	1	8	109	4	23	6553255	6517539	47268	3	2	100	0	1	0	0	0	0	0	1	0	0
9999	1	8	110	4	25	6553255	6517539	214201	10	11	100	2	3	0	0	0	1	0	3	0	0
9999	1	8	111	4	27	6553255	6517539	200100	6	4	100	1	3	0	0	0	1	0	3	0	0
9999	1	8	112	4	777	6553255	6517539	0	23	23	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	113	5	1	2949131	2893495	18964	3	3	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	114	5	3	2949131	2893495	21774	3	3	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	115	5	5	2949131	2893495	41694	5	5	99.2205	0	0	0	0	0	0	0	0	0	0
9999	1	8	116	5	7	2949131	2893495	228420	15	15	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	117	5	9	2949131	2893495	37192	2	2	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	118	5	11	2949131	2893495	11526	2	2	96.0141	0	0	0	0	0	0	0	0	0	0
9999	1	8	119	5	13	2949131	2893495	5164	2	2	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	120	5	15	2949131	2893495	27616	4	4	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	121	5	17	2949131	2893495	11765	4	4	93.4552	0	0	0	0	0	0	0	0	0	0
9999	1	8	122	5	19	2949131	2893495	22945	5	5	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	123	5	21	2949131	2893495	15940	3	3	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	124	5	23	2949131	2893495	25999	4	5	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	125	5	25	2949131	2893495	8705	2	2	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	126	5	27	2949131	2893495	24494	3	3	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	127	5	29	2949131	2893495	21351	3	3	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	128	5	31	2949131	2893495	98688	8	8	99.0372	0	0	0	0	0	0	0	0	0	0
9999	1	8	129	5	33	2949131	2893495	62179	4	4	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	130	5	35	2949131	2893495	50717	4	4	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	131	5	37	2949131	2893495	17848	3	3	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	132	5	39	2949131	2893495	8103	2	2	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	133	5	41	2949131	2893495	9152	4	3	99.6722	0	0	0	0	0	0	0	0	0	0
9999	1	8	134	5	43	2949131	2893495	18537	3	3	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	135	5	45	2949131	2893495	116784	7	8	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	136	5	47	2949131	2893495	18116	3	3	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	137	5	49	2949131	2893495	12343	3	7	97.558	0	0	0	0	0	0	0	0	0	0
9999	1	8	138	5	51	2949131	2893495	97493	2	2	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	139	5	53	2949131	2893495	18056	2	2	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	140	5	55	2949131	2893495	42882	3	3	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	141	5	57	2949131	2893495	22627	2	2	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	142	5	59	2949131	2893495	10346	3	1	91.6667	0	0	0	0	0	0	0	0	0	0
9999	1	8	143	5	61	2949131	2893495	13939	4	4	91.7856	0	0	0	0	0	0	0	0	0	0
9999	1	8	144	5	63	2949131	2893495	37001	1	2	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	145	5	65	2949131	2893495	13470	2	2	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	146	5	67	2949131	2893495	17934	5	5	99.139	0	0	0	0	0	0	0	0	0	0
9999	1	8	147	5	69	2949131	2893495	76535	5	5	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	148	5	71	2949131	2893495	25840	3	3	97.3781	0	0	0	0	0	0	0	0	0	0
9999	1	8	149	5	73	2949131	2893495	2943	3	2	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	150	5	75	2949131	2893495	17243	4	4	97.9948	0	0	0	0	0	0	0	0	0	0
9999	1	8	151	5	77	2949131	2893495	10365	2	2	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	152	5	79	2949131	2893495	14059	2	2	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	153	5	81	2949131	2893495	13045	2	2	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	154	5	83	2949131	2893495	22375	3	3	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	155	5	85	2949131	2893495	69604	7	7	90.1287	0	0	0	0	0	0	0	0	0	0
9999	1	8	156	5	87	2949131	2893495	13469	2	1	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	157	5	89	2949131	2893495	16636	3	3	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	158	5	91	2949131	2893495	43925	2	2	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	159	5	93	2949131	2893495	46140	8	8	99.3296	0	0	0	0	0	0	0	0	0	0
9999	1	8	160	5	95	2949131	2893495	8106	3	3	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	161	5	97	2949131	2893495	9469	1	2	91.7027	0	0	0	0	0	0	0	0	0	0
9999	1	8	162	5	99	2949131	2893495	9051	2	2	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	163	5	101	2949131	2893495	8295	1	1	41.6667	0	0	0	0	0	0	0	0	0	0
9999	1	8	164	5	103	2949131	2893495	25978	4	4	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	165	5	105	2949131	2893495	10444	2	2	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	166	5	107	2949131	2893495	13324	3	2	97.0679	0	0	0	0	0	0	0	0	0	0
9999	1	8	167	5	109	2949131	2893495	11302	3	3	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	168	5	111	2949131	2893495	24607	6	6	96.9054	0	0	0	0	0	0	0	0	0	0
9999	1	8	169	5	113	2949131	2893495	20688	2	2	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	170	5	115	2949131	2893495	62568	6	6	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	171	5	117	2949131	2893495	8651	3	3	92.2658	0	0	0	0	0	0	0	0	0	0
9999	1	8	172	5	119	2949131	2893495	387762	11	11	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	173	5	121	2949131	2893495	18085	2	2	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	174	5	123	2949131	2893495	28076	4	4	96.6116	0	0	0	0	0	0	0	0	0	0
9999	1	8	175	5	125	2949131	2893495	109942	3	3	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	176	5	127	2949131	2893495	11315	2	2	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	177	5	129	2949131	2893495	8067	1	1	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	178	5	131	2949131	2893495	127610	4	4	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	179	5	133	2949131	2893495	17359	2	2	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	180	5	135	2949131	2893495	8485	6	6	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	181	5	137	2949131	2893495	12651	2	2	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	182	5	139	2949131	2893495	39722	3	2	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	183	5	141	2949131	2893495	17148	3	3	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	184	5	143	2949131	2893495	208309	10	10	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	185	5	145	2949131	2893495	78464	11	11	82.3487	0	0	0	0	0	0	0	0	0	0
9999	1	8	186	5	147	2949131	2893495	3930	3	2	82.3494	0	0	0	0	0	0	0	0	0	0
9999	1	8	187	5	149	2949131	2893495	22144	5	5	99.3158	0	0	0	0	0	0	0	0	0	0
9999	1	8	188	6	1	38041430	38024318	1544062	26	22	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	189	6	3	38041430	38024318	1112	2	2	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	190	6	5	38041430	38024318	38305	6	6	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	191	6	7	38041430	38024318	222309	13	10	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	192	6	9	38041430	38024318	45470	5	5	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	193	6	11	38041430	38024318	21749	6	5	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	194	6	13	38041430	38024318	1075982	30	26	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	195	6	15	38041430	38024318	28925	3	3	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	196	6	17	38041430	38024318	182616	7	5	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	197	6	19	38041430	38024318	942367	24	20	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	198	6	21	38041430	38024318	28389	5	5	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	199	6	23	38041430	38024318	136011	11	10	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	200	6	25	38041430	38024318	170868	12	9	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	201	6	27	38041430	38024318	18649	4	4	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	202	6	29	38041430	38024318	859608	18	15	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	203	6	31	38041430	38024318	155191	10	8	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	204	6	33	38041430	38024318	64919	5	4	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	205	6	35	38041430	38024318	34517	6	4	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	206	6	37	38041430	38024318	9980757	108	102	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	207	6	39	38041430	38024318	154343	6	5	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	208	6	41	38041430	38024318	257396	16	15	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	209	6	43	38041430	38024318	18360	2	2	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	210	6	45	38041430	38024318	88365	8	7	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	211	6	47	38041430	38024318	262308	13	11	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	212	6	49	38041430	38024318	9605	4	4	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	213	6	51	38041430	38024318	14442	4	3	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	214	6	53	38041430	38024318	425810	19	18	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	215	6	55	38041430	38024318	139368	10	9	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	216	6	57	38041430	38024318	99526	7	6	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	217	6	59	38041430	38024318	3084081	45	41	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	218	6	61	38041430	38024318	360450	9	8	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	219	6	63	38041430	38024318	19948	4	3	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	220	6	65	38041430	38024318	2260388	41	34	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	221	6	67	38041430	38024318	1449422	19	16	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	222	6	69	38041430	38024318	56592	6	5	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	223	6	71	38041430	38024318	2084529	39	33	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	224	6	73	38041430	38024318	3169187	32	27	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	225	6	75	38041430	38024318	820363	12	7	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	226	6	77	38041430	38024318	702670	15	10	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	227	6	79	38041430	38024318	274491	17	15	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	228	6	81	38041430	38024318	733952	22	21	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	229	6	83	38041430	38024318	430836	16	13	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	230	6	85	38041430	38024318	1826156	27	23	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	231	6	87	38041430	38024318	266749	10	9	100	0	0	0	0	0	0	0	0	0	0
