STUDYNO	EDITION	PART	IDNO	FIPS_ST	FIPS_CTY	CPOPARST	AG_ARRST	JURFLAG	COVIND	GRNDTOT	P1TOT	P1VLNT	P1PRPTY	MURDER	RAPE	ROBBERY	AGASSLT	BURGLRY	LARCENY	MVTHEFT	ARSON	OTHASLT	FRGYCNT	FRAUD	EMBEZL	STLNPRP	VANDLSM	WEAPONS	COMVICE	SEXOFF	DRUGTOT	DRGSALE	COCSALE	MJSALE	SYNSALE	OTHSALE	DRGPOSS	COCPOSS	MJPOSS	SYNPOSS	OTHPOSS	GAMBLE	BOOKMKG	NUMBERS	OTGAMBL	OFAGFAM	DUI	LIQUOR	DRUNK	DISORDR	VAGRANT	ALLOTHR	SUSPICN	CURFEW	RUNAWAY
9999	2	2	45	1	89	327983	11	1	100	11479	2556	478	2078	19	22	187	250	274	1758	39	7	1445	159	224	0	141	91	114	6	36	2080	226	59	21	10	136	1854	567	1191	68	28	4	0	0	4	19	1637	34	399	380	139	2015	0	0	0
9999	2	2	46	1	91	20986	4	0	99.3853	932	165	53	112	3	0	4	46	10	94	6	2	162	9	96	0	9	29	5	0	4	67	20	4	5	7	4	47	10	33	3	1	0	0	0	0	0	61	4	13	49	4	254	0	0	0
9999	2	2	47	1	93	30191	7	1	100	436	58	7	51	0	1	0	6	2	46	3	0	63	5	5	0	0	8	4	0	1	73	18	3	1	1	13	55	7	7	11	30	0	0	0	0	6	30	32	18	13	0	120	0	0	0
9999	2	2	48	1	95	90374	8	1	99.2617	7922	780	117	663	7	10	21	79	86	555	19	3	752	57	408	0	51	49	18	3	22	433	169	14	5	3	147	264	27	132	38	67	0	0	0	0	24	613	227	449	65	5	3964	0	0	0
9999	2	2	49	1	97	408816	12	0	94.6632	29785	3064	543	2521	27	15	246	255	461	1923	131	5	3216	142	254	72	408	243	201	58	44	2295	139	54	23	47	15	2156	655	1225	151	125	61	0	0	61	26	873	272	805	415	55	17280	0	0	0
9999	2	2	50	1	99	22468	4	0	89.0348	1124	111	48	62	6	3	8	31	22	31	8	1	172	10	55	0	5	16	6	0	5	66	2	0	0	1	0	64	20	41	2	1	0	0	0	0	0	110	19	61	39	0	448	0	0	0
9999	2	2	51	1	101	225964	10	0	10.2432	14246	2534	503	2031	28	25	186	265	332	1608	84	7	1747	112	263	22	162	168	171	80	43	1724	35	9	8	3	15	1689	592	1067	15	16	23	2	2	20	7	594	65	279	231	50	5971	0	0	0
9999	2	2	52	1	103	117288	7	1	94.2053	6566	666	119	546	2	1	35	80	79	446	21	1	1007	25	172	1	18	43	3	0	6	26	17	15	0	0	2	9	1	2	0	6	1	0	0	1	2	343	190	484	107	1	3471	0	0	0
9999	2	2	53	1	105	10569	3	0	100	282	45	20	25	0	4	2	14	9	16	0	0	82	3	22	0	2	12	2	0	1	15	3	0	3	0	0	12	0	12	0	0	1	0	0	1	16	12	1	15	12	0	41	0	0	0
9999	2	2	54	1	107	19463	7	0	100	650	55	24	31	0	1	4	19	10	18	1	2	80	4	7	0	3	9	7	0	8	74	27	3	5	8	11	47	11	27	7	2	0	0	0	0	38	77	63	15	17	0	193	0	0	0
9999	2	2	55	1	109	30589	4	0	100	1129	215	60	155	3	11	17	29	32	111	12	0	272	19	25	0	16	12	9	0	3	113	32	10	12	2	8	81	16	59	2	4	0	0	0	0	8	67	53	47	35	0	235	0	0	0
9999	2	2	56	1	111	22743	4	0	94.6954	1108	94	21	73	0	1	2	18	13	52	5	2	139	3	105	0	6	8	0	0	10	49	6	3	0	0	2	43	11	20	3	8	0	0	0	0	4	65	53	25	23	0	523	0	0	0
9999	2	2	57	1	113	53486	3	1	98.9885	2382	541	143	399	2	14	34	92	71	313	14	0	390	32	83	0	28	27	10	0	45	101	8	0	2	0	6	93	13	72	1	6	0	0	0	0	46	201	13	163	72	2	627	0	0	0
9999	2	2	58	1	115	80135	10	1	97.3994	4993	466	88	378	11	6	16	55	53	311	9	5	525	43	380	1	38	31	7	5	20	217	96	13	9	0	73	120	8	60	9	44	3	0	0	3	12	421	65	189	37	1	2531	0	0	0
9999	2	2	59	1	117	172981	9	1	97.2838	6021	768	91	677	12	6	32	41	132	526	18	2	679	57	480	0	41	30	25	0	24	193	11	1	2	0	8	183	7	171	2	3	0	0	0	0	17	819	208	422	47	1	2210	0	0	0
9999	2	2	60	1	119	13169	5	0	37.7794	525	71	36	36	1	2	5	27	11	23	2	0	70	7	24	0	9	12	7	0	3	43	7	2	1	0	3	36	6	25	3	2	0	0	0	0	5	33	15	20	8	0	197	0	0	0
9999	2	2	61	1	121	77857	5	0	30.5663	4356	472	95	377	5	7	16	68	61	294	19	3	617	27	154	1	31	42	31	1	17	256	41	7	6	3	26	215	28	146	19	23	0	0	0	0	28	326	94	231	87	1	1940	0	0	0
9999	2	2	62	1	123	39244	6	0	99.3451	2937	338	109	229	9	3	22	75	49	166	12	2	347	45	97	0	24	38	19	0	9	143	32	14	12	2	4	111	27	65	8	10	1	0	0	1	5	184	53	144	57	0	1433	0	0	0
9999	2	2	63	1	125	181601	6	1	100	10214	1317	243	1074	10	21	81	131	244	792	37	1	1695	58	713	0	109	65	53	7	10	881	170	14	3	107	46	711	33	611	36	31	5	0	0	5	16	592	320	680	104	0	3589	0	0	0
9999	2	2	64	1	127	69089	9	1	100	3792	631	65	566	3	2	21	39	32	519	11	4	256	29	100	0	61	22	17	0	4	208	21	1	1	1	18	187	5	75	93	14	0	0	0	0	14	139	165	341	40	2	1763	0	0	0
9999	2	2	65	1	129	17182	4	0	100	511	59	22	37	2	1	0	19	15	19	1	2	71	5	44	0	11	5	3	0	1	55	8	3	0	2	3	47	5	9	8	25	0	0	0	0	4	59	4	9	0	0	181	0	0	0
9999	2	2	66	1	131	12841	3	0	100	239	49	22	27	2	0	0	20	11	15	0	1	34	0	12	0	6	3	3	0	1	13	6	3	1	0	2	7	2	3	0	2	0	0	0	0	0	27	1	2	12	0	76	0	0	0
9999	2	2	67	1	133	24027	5	1	95.6452	1135	122	33	89	0	5	1	27	14	69	5	1	131	14	59	0	8	6	2	0	8	51	36	0	0	0	36	15	0	13	0	1	0	0	0	0	89	58	59	41	9	0	477	0	0	0
9999	2	2	68	1	777	0	1	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9999	2	2	69	2	13	996	1	0	0	71	9	3	5	0	0	0	3	0	4	0	0	8	0	0	0	0	1	1	0	0	4	1	0	0	0	0	4	0	3	0	0	0	0	0	0	0	11	7	2	3	0	23	0	0	0
9999	2	2	70	2	16	3867	2	0	100	252	24	11	13	0	0	0	11	7	5	1	0	48	0	1	0	0	5	0	0	2	19	8	2	1	1	4	11	1	9	1	0	0	0	0	0	1	47	19	0	11	0	75	0	0	0
9999	2	2	71	2	20	283300	3	0	100	18771	2848	1122	1726	15	46	206	855	134	1475	111	6	2154	75	151	74	13	291	95	204	68	670	169	120	31	10	8	501	122	356	13	10	0	0	0	0	209	2250	884	0	300	0	8481	3	0	0
9999	2	2	72	2	50	6584	1	0	100	431	39	15	24	1	0	0	14	2	16	6	0	151	0	0	0	2	12	0	0	1	3	2	0	2	0	0	1	0	1	0	0	0	0	0	0	0	37	26	0	65	0	95	0	0	0
9999	2	2	73	2	60	933	1	0	100	74	10	7	3	0	0	2	5	1	1	1	0	15	0	0	0	0	2	5	0	0	7	2	0	0	0	2	5	0	5	0	0	0	0	0	0	1	11	1	0	9	0	13	0	0	0
9999	2	2	74	2	70	3276	2	0	75.2442	132	26	11	15	0	6	0	5	0	11	3	0	24	0	1	0	0	7	1	0	0	5	1	0	0	0	0	5	0	2	0	2	0	0	0	0	0	16	8	6	2	0	34	0	0	0
9999	2	2	75	2	90	38034	4	0	100	3069	297	74	223	0	4	15	55	13	197	12	1	288	7	8	4	2	40	23	0	6	227	8	4	3	0	1	219	50	162	5	2	0	0	0	0	12	579	125	339	106	0	1006	0	0	0
9999	2	2	76	2	100	2273	1	0	100	66	16	9	7	0	0	0	9	4	3	0	0	6	0	3	0	0	1	1	0	2	2	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	2	2	0	2	0	29	0	0	0
9999	2	2	77	2	110	31024	1	0	100	1075	182	44	138	0	1	1	42	6	128	4	0	222	1	0	2	0	43	4	0	5	19	8	3	0	4	1	11	2	9	0	0	0	0	0	0	1	176	128	0	55	0	237	0	0	0
9999	2	2	78	2	122	21691	5	0	98.5616	1653	284	76	208	0	1	2	73	13	187	6	1	158	2	9	0	4	38	17	1	6	148	23	3	7	7	6	125	4	99	10	12	0	0	0	0	17	268	89	1	77	0	533	0	0	0
9999	2	2	79	2	130	7215	1	0	0	513	62	24	37	0	1	1	22	3	31	3	0	61	1	2	0	1	9	4	0	2	31	5	2	1	1	1	26	4	20	1	1	0	0	0	0	2	79	49	17	22	0	169	0	0	0
9999	2	2	80	2	150	6212	1	0	100	428	40	17	23	0	0	0	17	4	17	2	0	45	2	2	0	1	12	5	0	11	23	8	1	4	0	3	15	1	10	0	4	0	0	0	0	0	43	29	0	12	0	203	0	0	0
9999	2	2	81	2	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9999	2	2	82	2	170	21984	3	0	100	1421	166	50	116	0	0	6	44	11	99	6	0	66	9	22	0	0	14	11	10	7	92	17	7	5	4	1	75	14	47	5	9	0	0	0	0	8	303	38	0	32	0	643	0	0	0
9999	2	2	83	2	180	3585	1	0	100	647	167	146	21	1	0	0	145	2	15	3	1	34	0	2	0	0	6	1	0	4	10	6	0	0	0	6	4	0	4	0	0	0	0	0	0	1	24	53	52	29	0	264	0	0	0
9999	2	2	84	2	185	6581	1	0	100	329	34	29	5	1	0	1	27	1	2	2	0	119	0	0	0	0	3	1	0	1	7	0	0	0	0	0	7	1	6	0	0	0	0	0	0	4	65	6	16	6	0	67	0	0	0
9999	2	2	85	2	188	3187	1	0	100	555	12	7	5	0	1	0	6	4	0	0	1	112	0	0	0	3	0	3	0	0	18	1	0	1	0	0	17	2	15	0	0	0	0	0	0	1	36	134	0	45	0	191	0	0	0
9999	2	2	86	2	201	1874	2	0	61.3661	223	18	12	6	0	0	0	12	0	5	0	0	22	0	4	0	0	7	0	0	1	11	1	1	0	0	0	10	0	9	0	0	0	0	0	0	0	22	19	2	14	0	101	0	0	0
9999	2	2	87	2	220	8896	1	0	100	354	31	6	25	0	1	0	5	3	18	4	0	52	0	0	0	0	5	2	0	1	21	2	0	2	0	0	19	3	13	3	0	0	0	0	0	0	63	46	0	16	0	117	0	0	0
9999	2	2	88	2	232	1596	2	0	56.0777	58	8	2	6	0	0	0	2	2	3	0	0	6	0	0	0	0	1	0	0	0	3	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	11	6	2	2	0	18	0	0	0
9999	2	2	89	2	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9999	2	2	90	2	261	6134	3	0	97.4405	393	54	36	19	0	0	0	35	3	11	3	2	42	1	0	0	0	5	14	0	3	18	12	11	0	0	1	6	0	3	0	2	0	0	0	0	6	73	27	0	19	0	130	0	0	0
9999	2	2	91	2	270	849	1	0	0	60	7	3	4	0	0	0	3	0	4	0	0	7	0	0	0	0	1	1	0	0	4	1	0	0	0	0	3	0	2	0	0	0	0	0	0	0	9	6	2	3	0	20	0	0	0
9999	2	2	92	2	280	5369	3	0	88.3218	355	44	25	19	0	0	0	25	3	14	2	0	31	1	0	0	0	11	4	0	2	9	4	0	2	0	2	4	0	4	0	0	0	0	0	0	2	48	26	2	20	0	155	0	0	0
9999	2	2	93	2	282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9999	2	2	94	2	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9999	2	2	95	2	777	0	1	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9999	2	2	96	2	999	233013	1	0	100	7162	699	402	297	5	10	13	374	94	154	49	0	1053	14	64	0	5	132	140	0	40	448	104	22	58	5	19	344	28	286	9	21	0	0	0	0	51	1349	242	0	108	0	2816	0	0	0
9999	2	2	97	4	1	69481	4	0	94.8	766	94	25	69	0	0	1	24	13	52	4	0	64	2	2	0	4	14	3	0	1	74	8	0	6	0	2	66	2	45	3	15	0	0	0	0	15	103	70	0	105	2	213	0	0	0
9999	2	2	98	4	3	128796	8	0	98.1121	5841	1094	203	891	4	5	33	161	55	797	39	0	499	20	49	0	32	293	53	1	12	696	106	3	79	12	12	590	16	467	45	62	0	0	0	0	203	521	431	0	449	3	1485	0	0	0
9999	2	2	99	4	5	125099	6	1	94.4524	9839	1058	183	875	2	3	24	153	47	809	14	6	864	32	7	3	14	329	40	3	159	916	59	15	32	3	9	857	32	779	24	22	0	0	0	0	101	1035	1569	0	1090	138	2480	0	0	0
9999	2	2	100	4	7	51657	5	0	97.6112	4155	443	152	291	10	2	11	129	21	249	20	1	259	24	41	1	11	94	42	3	32	357	76	2	17	0	56	281	9	245	10	17	0	0	0	0	460	360	182	0	345	1	1500	0	0	0
9999	2	2	101	4	9	36377	4	0	100	1254	155	72	83	0	0	2	70	3	76	3	1	8	13	7	0	4	5	7	0	8	142	25	0	12	2	11	117	1	99	3	14	0	0	0	0	86	365	130	0	73	0	250	0	0	0
9999	2	2	102	4	11	7858	2	0	48.2693	339	47	18	29	0	0	0	18	4	25	0	0	52	0	0	0	0	1	0	0	4	22	0	0	0	0	0	22	0	17	4	0	0	0	0	0	15	61	2	0	65	0	69	0	0	0
9999	2	2	103	4	12	19905	3	0	100	1363	84	15	69	2	0	2	11	18	45	5	1	27	2	6	0	0	23	11	0	8	195	15	0	4	3	8	179	8	141	7	23	0	0	0	0	0	213	91	0	104	3	594	0	0	0
9999	2	2	104	4	13	4017355	20	1	100	159142	25152	4945	20206	95	136	1342	3372	1914	17456	781	55	13104	1928	1483	225	694	4644	1933	1224	927	14106	1866	775	633	116	343	12236	1984	7706	1128	1419	1	0	1	0	465	26063	12330	0	5348	1200	48316	0	0	0
9999	2	2	105	4	15	199041	5	0	100	13120	1526	311	1215	11	5	39	256	160	989	62	4	796	40	55	0	25	334	40	3	71	942	129	4	32	83	10	811	14	440	151	199	0	0	0	0	491	995	975	0	809	12	6007	0	0	0
9999	2	2	106	4	17	113233	6	0	100	6042	832	254	578	5	3	10	236	82	453	40	3	251	14	36	0	7	111	21	0	24	353	63	11	30	4	18	290	5	225	31	30	0	0	0	0	46	752	541	0	447	175	2430	0	0	0
9999	2	2	107	4	19	1020210	9	0	100	58446	7417	1046	6371	45	16	297	688	534	5487	326	24	4515	127	276	0	188	2284	490	238	232	9254	1219	526	284	286	122	8035	116	4298	962	2659	2	0	0	2	227	5527	6653	0	5418	248	15347	0	0	0
